# Export reports to open metrics format
export set-a
----
----

pkg_server_AdminAPIDataDistribution_8_alloc_op{abc_def="good/label?",some="42test"} 102515994.000000 1684920350
pkg_server_AdminAPIDataDistribution_8_allocs_op{abc_def="good/label?",some="42test"} 786333.000000 1684920350
pkg_server_AdminAPIDataDistribution_8_sec_op{abc_def="good/label?",some="42test"} 0.814504 1684920350
pkg_server_SetupSpanForIncomingRPC_grpcMeta_8_alloc_op{abc_def="good/label?",some="42test"} 320.000000 1684920350
pkg_server_SetupSpanForIncomingRPC_grpcMeta_8_allocs_op{abc_def="good/label?",some="42test"} 3.000000 1684920350
pkg_server_SetupSpanForIncomingRPC_grpcMeta_8_sec_op{abc_def="good/label?",some="42test"} 0.000001 1684920350
pkg_server_SetupSpanForIncomingRPC_no_parent_8_alloc_op{abc_def="good/label?",some="42test"} 320.000000 1684920350
pkg_server_SetupSpanForIncomingRPC_no_parent_8_allocs_op{abc_def="good/label?",some="42test"} 3.000000 1684920350
pkg_server_SetupSpanForIncomingRPC_no_parent_8_sec_op{abc_def="good/label?",some="42test"} 0.000001 1684920350
pkg_server_SetupSpanForIncomingRPC_traceInfo_8_alloc_op{abc_def="good/label?",some="42test"} 320.000000 1684920350
pkg_server_SetupSpanForIncomingRPC_traceInfo_8_allocs_op{abc_def="good/label?",some="42test"} 3.000000 1684920350
pkg_server_SetupSpanForIncomingRPC_traceInfo_8_sec_op{abc_def="good/label?",some="42test"} 0.000001 1684920350
pkg_util_hlc_DecimalToHLC_8_alloc_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_DecimalToHLC_8_allocs_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_DecimalToHLC_8_sec_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampIsEmpty_all_8_alloc_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampIsEmpty_all_8_allocs_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampIsEmpty_all_8_sec_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampIsEmpty_empty_8_alloc_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampIsEmpty_empty_8_allocs_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampIsEmpty_empty_8_sec_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampIsEmpty_walltime_8_alloc_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampIsEmpty_walltime_8_allocs_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampIsEmpty_walltime_8_sec_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampStringSynthetic_8_alloc_op{abc_def="good/label?",some="42test"} 24.000000 1684920350
pkg_util_hlc_TimestampStringSynthetic_8_allocs_op{abc_def="good/label?",some="42test"} 1.000000 1684920350
pkg_util_hlc_TimestampStringSynthetic_8_sec_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_TimestampString_8_alloc_op{abc_def="good/label?",some="42test"} 24.000000 1684920350
pkg_util_hlc_TimestampString_8_allocs_op{abc_def="good/label?",some="42test"} 1.000000 1684920350
pkg_util_hlc_TimestampString_8_sec_op{abc_def="good/label?",some="42test"} 0.000000 1684920350
pkg_util_hlc_Update_8_alloc_op{abc_def="good/label?",some="42test"} 6066.000000 1684920350
pkg_util_hlc_Update_8_allocs_op{abc_def="good/label?",some="42test"} 47.000000 1684920350
pkg_util_hlc_Update_8_sec_op{abc_def="good/label?",some="42test"} 0.068845 1684920350
----
----
