rows,num_cols,estimated,actual
10,2,16.230000,0.011774
1000000,2,1376245.592416,1.651296
2000000,2,3064990.279862,2.977612
3000000,2,5066238.092341,4.109804
4000000,2,7379989.029850,5.443839
5000000,2,10006243.092391,6.691528
6000000,2,12945000.279962,7.883590
7000000,2,15540004.030000,9.237124
8000000,2,17760004.030000,10.576521
9000000,2,19980004.030000,11.711999
10000000,2,22200004.030000,12.932723
11000000,2,24420004.030000,14.126060
12000000,2,26640004.030000,15.369439
10,3,16.430000,0.001015
1000000,3,1396245.592416,1.617916
2000000,3,3104990.279862,3.204402
3000000,3,5126238.092341,4.671913
4000000,3,7459989.029850,6.247394
5000000,3,10106243.092391,7.863606
6000000,3,13065000.279962,9.258101
7000000,3,15680004.030000,10.856210
8000000,3,17920004.030000,12.580753
9000000,3,20160004.030000,14.026172
10000000,3,22400004.030000,15.294526
11000000,3,24640004.030000,16.809612
12000000,3,26880004.030000,18.538041
10,4,16.630000,0.000980
1000000,4,1416245.592416,1.813130
2000000,4,3144990.279862,3.583648
3000000,4,5186238.092341,5.256810
4000000,4,7539989.029850,7.017376
5000000,4,10206243.092391,8.704136
6000000,4,13185000.279962,10.338006
7000000,4,15820004.030000,12.068274
8000000,4,18080004.030000,13.764568
9000000,4,20340004.030000,15.522189
10000000,4,22600004.030000,16.815492
11000000,4,24860004.030000,18.783499
12000000,4,27120004.030000,20.327555
