rows,num_cols,estimated,actual
10,1,39.030000,0.005131
1000000,1,2768740.717247,1.895822
2000000,1,6474974.779587,3.764830
3000000,1,11118718.217022,6.387358
4000000,1,13392474.154531,7.309750
5000000,1,15978728.217072,8.269335
6000000,1,18877485.404644,9.090714
7000000,1,21432489.154681,9.871740
8000000,1,23612489.154681,10.739554
9000000,1,25792489.154681,12.120099
10000000,1,27972489.154681,13.059812
11000000,1,30152489.154681,14.094840
12000000,1,32332489.154681,14.872081
10,2,39.230000,0.001430
1000000,2,2788740.717247,2.569923
2000000,2,6514974.779587,5.832292
3000000,2,11178718.217022,9.324068
4000000,2,13462474.154531,11.179740
5000000,2,16058728.217072,13.026902
6000000,2,18967485.404644,14.482560
7000000,2,21532489.154681,16.357014
8000000,2,23722489.154681,18.028023
9000000,2,25912489.154681,19.541359
10000000,2,28102489.154681,21.582277
11000000,2,30292489.154681,23.203637
12000000,2,32482489.154681,24.602979
