rows,num_cols,estimated,actual
10,1,15.010000,0.024436
250000,1,275004.010000,0.248872
500000,1,550004.010000,0.446463
750000,1,825004.010000,0.609281
1000000,1,1100004.010000,0.742170
1250000,1,1375004.010000,0.970878
1500000,1,1650004.010000,1.099205
1750000,1,1925004.010000,1.255233
2000000,1,2200004.010000,1.449763
2250000,1,2475004.010000,1.640675
2500000,1,2750004.010000,1.783484
2750000,1,3025004.010000,1.984313
3000000,1,3300004.010000,2.136868
10,3,15.210000,0.001049
250000,3,280004.010000,0.198813
500000,3,560004.010000,0.395368
750000,3,840004.010000,0.589162
1000000,3,1120004.010000,0.821897
1250000,3,1400004.010000,1.036951
1500000,3,1680004.010000,1.235343
1750000,3,1960004.010000,1.482879
2000000,3,2240004.010000,1.674230
2250000,3,2520004.010000,1.885598
2500000,3,2800004.010000,2.112159
2750000,3,3080004.010000,2.339596
3000000,3,3360004.010000,2.556592
10,6,15.510000,0.000936
250000,6,287504.010000,0.243479
500000,6,575004.010000,0.488781
750000,6,862504.010000,0.745100
1000000,6,1150004.010000,1.015005
1250000,6,1437504.010000,1.285994
1500000,6,1725004.010000,1.545388
1750000,6,2012504.010000,1.808261
2000000,6,2300004.010000,2.108007
2250000,6,2587504.010000,2.362479
2500000,6,2875004.010000,2.622829
2750000,6,3162504.010000,2.894061
3000000,6,3450004.010000,3.180391
10,9,15.810000,0.000824
250000,9,295004.010000,0.290041
500000,9,590004.010000,0.599638
750000,9,885004.010000,0.918263
1000000,9,1180004.010000,1.235998
1250000,9,1475004.010000,1.580242
1500000,9,1770004.010000,1.870619
1750000,9,2065004.010000,2.199694
2000000,9,2360004.010000,2.525480
2250000,9,2655004.010000,2.847011
2500000,9,2950004.010000,3.169819
2750000,9,3245004.010000,3.481172
3000000,9,3540004.010000,3.765673
