lineitem_rows,supplier_rows,estimated,actual
10,10,29.530000,0.003806
1000000,10,1050023.916785,0.006431
2000000,10,2100028.903570,0.005838
3000000,10,3150033.890355,0.005697
4000000,10,4200038.877140,0.005921
5000000,10,5250043.863925,0.006086
6000000,10,6300048.850710,0.005889
7000000,10,7350053.837495,0.005639
8000000,10,8400058.824280,0.005796
9000000,10,9450063.811065,0.005771
10000000,10,10500068.797850,0.005664
11000000,10,11550073.784635,0.005645
12000000,10,12600078.771420,0.005754
10,1000,1108.630000,0.006430
1000000,1000,1051596.708502,0.357861
2000000,1000,2102095.387004,0.368291
3000000,1000,3152594.065506,0.353418
4000000,1000,4203092.744008,0.349349
5000000,1000,5253591.422510,0.344271
6000000,1000,6304090.101012,0.343312
7000000,1000,7354588.779514,0.348113
8000000,1000,8405087.458016,0.348981
9000000,1000,9455586.136518,0.349747
10000000,1000,10506084.815020,0.347959
11000000,1000,11556583.493522,0.349222
12000000,1000,12607082.172024,0.346095
10,2000,2198.630000,0.006641
1000000,2000,1053185.387004,0.592044
2000000,2000,2104182.744008,0.709176
3000000,2000,3155180.101012,0.713248
4000000,2000,4206177.458016,0.717638
5000000,2000,5257174.815020,0.694552
6000000,2000,6308172.172024,0.695888
7000000,2000,7359169.529028,0.693536
8000000,2000,8410166.886032,0.696920
9000000,2000,9461164.243035,0.728545
10000000,2000,10512161.600039,0.695813
11000000,2000,11563158.957043,0.694232
12000000,2000,12614156.314047,0.696031
10,3000,3288.630000,0.006987
1000000,3000,1054774.065506,0.585714
2000000,3000,2106270.101012,1.057190
3000000,3000,3157766.136518,1.068748
4000000,3000,4209262.172024,1.058989
5000000,3000,5260758.207530,1.048694
6000000,3000,6312254.243035,1.048794
7000000,3000,7363750.278541,1.067393
8000000,3000,8415246.314047,1.048399
9000000,3000,9466742.349553,1.049247
10000000,3000,10518238.385059,1.043001
11000000,3000,11569734.420565,1.048124
12000000,3000,12621230.456071,1.037962
10,4000,4378.630000,0.007370
1000000,4000,1056362.744008,0.575646
2000000,4000,2108357.458016,1.168315
3000000,4000,3160352.172024,1.450428
4000000,4000,4212346.886032,1.430971
5000000,4000,5264341.600039,1.482457
6000000,4000,6316336.314047,1.428430
7000000,4000,7368331.028055,1.414905
8000000,4000,8420325.742063,1.442082
9000000,4000,9472320.456071,1.432695
10000000,4000,10524315.170079,1.426001
11000000,4000,11576309.884087,1.428244
12000000,4000,12628304.598095,1.427556
10,5000,5468.630000,0.003567
1000000,5000,1057951.422510,0.594622
2000000,5000,2110444.815020,1.175322
3000000,5000,3162938.207530,1.812499
4000000,5000,4215431.600039,1.801634
5000000,5000,5267924.992549,1.809796
6000000,5000,6320418.385059,1.794572
7000000,5000,7372911.777569,1.840704
8000000,5000,8425405.170079,1.785859
9000000,5000,9477898.562589,1.777266
