proname|args|rettype|provolatile|proleakproof
_pg_char_max_length|{oid,int4}|int4|i|f
_pg_char_octet_length|{int4,oid}|int4|i|f
_pg_datetime_precision|{int4,oid}|int4|i|f
_pg_expandarray|{anyarray}|record|i|f
_pg_index_position|{int2,oid}|int4|s|f
_pg_interval_type|{oid,int4}|text|i|f
_pg_keysequal|{_int2,_int2}|bool|i|f
_pg_numeric_precision|{int4,oid}|int4|i|f
_pg_numeric_precision_radix|{int4,oid}|int4|i|f
_pg_numeric_scale|{int4,oid}|int4|i|f
_pg_truetypid|{pg_type,pg_attribute}|oid|i|f
_pg_truetypmod|{pg_type,pg_attribute}|int4|i|f
_postgis_deprecate|{text,text,text}|void|i|f
_postgis_index_extent|{text,regclass}|box2d|s|f
_postgis_join_selectivity|{text,text,regclass,regclass,text}|float8|v|f
_postgis_selectivity|{regclass,geometry,text,text}|float8|v|f
_postgis_stats|{text,text,regclass}|text|v|f
_st_3ddfullywithin|{geometry,geometry,float8}|bool|i|f
_st_3ddwithin|{geometry,geometry,float8}|bool|i|f
_st_3dintersects|{geometry,geometry}|bool|i|f
_st_asgml|{int4,geometry,int4,int4,text,text}|text|i|f
_st_asx3d|{int4,geometry,int4,int4,text}|text|i|f
_st_bestsrid|{geography}|int4|i|f
_st_bestsrid|{geography,geography}|int4|i|f
_st_concavehull|{geometry}|geometry|i|f
_st_contains|{geometry,geometry}|bool|i|f
_st_containsproperly|{geometry,geometry}|bool|i|f
_st_coveredby|{geography,geography}|bool|i|f
_st_coveredby|{geometry,geometry}|bool|i|f
_st_covers|{geography,geography}|bool|i|f
_st_covers|{geometry,geometry}|bool|i|f
_st_crosses|{geometry,geometry}|bool|i|f
_st_dfullywithin|{geometry,geometry,float8}|bool|i|f
_st_distancetree|{geography,geography}|float8|i|f
_st_distancetree|{geography,geography,float8,bool}|float8|i|f
_st_distanceuncached|{geography,geography}|float8|i|f
_st_distanceuncached|{geography,geography,bool}|float8|i|f
_st_distanceuncached|{geography,geography,float8,bool}|float8|i|f
_st_dwithin|{geography,bool,geography,float8}|bool|i|f
_st_dwithin|{geometry,geometry,float8}|bool|i|f
_st_dwithinuncached|{geography,geography,float8}|bool|i|f
_st_dwithinuncached|{geography,geography,float8,bool}|bool|i|f
_st_equals|{geometry,geometry}|bool|i|f
_st_expand|{geography,float8}|geography|i|f
_st_geomfromgml|{text,int4}|geometry|i|f
_st_intersects|{geometry,geometry}|bool|i|f
_st_linecrossingdirection|{geometry,geometry}|int4|i|f
_st_longestline|{geometry,geometry}|geometry|i|f
_st_maxdistance|{geometry,geometry}|float8|i|f
_st_orderingequals|{geometry,geometry}|bool|i|f
_st_overlaps|{geometry,geometry}|bool|i|f
_st_pointoutside|{geography}|geography|i|f
_st_touches|{geometry,geometry}|bool|i|f
_st_voronoi|{geometry,geometry,float8,bool}|geometry|i|f
_st_within|{geometry,geometry}|bool|i|f
abbrev|{cidr}|text|i|f
abbrev|{inet}|text|i|f
abs|{float4}|float4|i|f
abs|{float8}|float8|i|f
abs|{int2}|int2|i|f
abs|{int4}|int4|i|f
abs|{int8}|int8|i|f
abs|{numeric}|numeric|i|f
aclcontains|{aclitem,_aclitem}|bool|i|f
acldefault|{char,oid}|_aclitem|i|f
aclexplode|{_aclitem}|record|s|f
aclinsert|{_aclitem,aclitem}|_aclitem|i|f
aclitemeq|{aclitem,aclitem}|bool|i|f
aclitemin|{cstring}|aclitem|s|f
aclitemout|{aclitem}|cstring|s|f
aclremove|{_aclitem,aclitem}|_aclitem|i|f
acos|{float8}|float8|i|f
acosd|{float8}|float8|i|f
acosh|{float8}|float8|i|f
addauth|{text}|bool|v|f
addgeometrycolumn|{int4,bool,int4,varchar,varchar,varchar,varchar}|text|s|f
addgeometrycolumn|{int4,varchar,varchar,varchar,int4,bool}|text|v|f
addgeometrycolumn|{varchar,varchar,varchar,varchar,int4,int4,bool,varchar}|text|v|f
age|{timestamp}|interval|s|f
