castsource|casttarget|provolatile|proleakproof|castcontext|pg_version
16|23|i|f|e|13.5
16|25|i|f|a|13.5
16|1042|i|f|a|13.5
16|1043|i|f|a|13.5
18|23|i|f|e|13.5
18|25|i|f|i|13.5
18|1042|i|f|a|13.5
18|1043|i|f|a|13.5
19|25|i|f|i|13.5
19|1042|i|f|a|13.5
19|1043|i|f|a|13.5
20|21|i|f|a|13.5
20|23|i|f|a|13.5
20|24|i|f|i|13.5
20|26|i|f|i|13.5
20|700|i|f|i|13.5
20|701|i|f|i|13.5
20|790|s|f|a|13.5
20|1560|i|f|e|13.5
20|1700|i|f|i|13.5
20|2202|i|f|i|13.5
20|2203|i|f|i|13.5
20|2204|i|f|i|13.5
20|2205|i|f|i|13.5
20|2206|i|f|i|13.5
20|3734|i|f|i|13.5
20|3769|i|f|i|13.5
20|4089|i|f|i|13.5
20|4096|i|f|i|13.5
20|4191|i|f|i|13.5
21|20|i|f|i|13.5
21|23|i|f|i|13.5
21|24|i|f|i|13.5
21|26|i|f|i|13.5
21|700|i|f|i|13.5
21|701|i|f|i|13.5
21|1700|i|f|i|13.5
21|2202|i|f|i|13.5
21|2203|i|f|i|13.5
21|2204|i|f|i|13.5
21|2205|i|f|i|13.5
21|2206|i|f|i|13.5
21|3734|i|f|i|13.5
21|3769|i|f|i|13.5
21|4089|i|f|i|13.5
21|4096|i|f|i|13.5
21|4191|i|f|i|13.5
23|16|i|f|e|13.5
23|18|i|f|e|13.5
23|20|i|f|i|13.5
23|21|i|f|a|13.5
23|700|i|f|i|13.5
23|701|i|f|i|13.5
23|790|s|f|a|13.5
23|1560|i|f|e|13.5
23|1700|i|f|i|13.5
24|20|i|f|a|13.5
25|18|i|f|a|13.5
25|19|i|f|i|13.5
25|142|s|f|e|13.5
25|2205|s|f|i|13.5
26|20|i|f|a|13.5
600|603|i|f|a|13.5
601|600|i|f|e|13.5
602|600|i|f|e|13.5
602|604|i|f|a|13.5
603|600|i|f|e|13.5
603|601|i|f|e|13.5
603|604|i|f|a|13.5
603|718|i|f|e|13.5
604|600|i|f|e|13.5
604|602|i|f|a|13.5
604|603|i|f|e|13.5
604|718|i|f|e|13.5
650|25|i|f|a|13.5
650|1042|i|f|a|13.5
650|1043|i|f|a|13.5
700|20|i|f|a|13.5
700|21|i|f|a|13.5
700|23|i|f|a|13.5
700|701|i|f|i|13.5
700|1700|i|f|a|13.5
701|20|i|f|a|13.5
701|21|i|f|a|13.5
701|23|i|f|a|13.5
701|700|i|f|a|13.5
701|1700|i|f|a|13.5
718|600|i|f|e|13.5
718|603|i|f|e|13.5
718|604|i|f|e|13.5
774|829|i|f|i|13.5
790|1700|s|f|a|13.5
829|774|i|f|i|13.5
869|25|i|f|a|13.5
869|650|i|f|a|13.5
869|1042|i|f|a|13.5
869|1043|i|f|a|13.5
1042|18|i|f|a|13.5
1042|19|i|f|i|13.5
1042|25|i|f|i|13.5
1042|142|s|f|e|13.5
1042|1042|i|f|i|13.5
1042|1043|i|f|i|13.5
1043|18|i|f|a|13.5
1043|19|i|f|i|13.5
1043|142|s|f|e|13.5
1043|1043|i|f|i|13.5
1043|2205|s|f|i|13.5
1082|1114|i|f|i|13.5
1082|1184|s|f|i|13.5
1083|1083|i|f|i|13.5
1083|1186|i|f|i|13.5
1083|1266|s|f|i|13.5
1114|1082|i|f|a|13.5
1114|1083|i|f|a|13.5
1114|1114|i|f|i|13.5
1114|1184|s|f|i|13.5
1184|1082|s|f|a|13.5
1184|1083|s|f|a|13.5
1184|1114|s|f|a|13.5
1184|1184|i|f|i|13.5
1184|1266|s|f|a|13.5
1186|1083|i|f|a|13.5
1186|1186|i|f|i|13.5
1266|1083|i|f|a|13.5
1266|1266|i|f|i|13.5
1560|20|i|f|e|13.5
1560|23|i|f|e|13.5
1560|1560|i|f|i|13.5
1562|1562|i|f|i|13.5
1700|20|i|f|a|13.5
1700|21|i|f|a|13.5
1700|23|i|f|a|13.5
1700|700|i|f|i|13.5
1700|701|i|f|i|13.5
1700|790|s|f|a|13.5
1700|1700|i|f|i|13.5
2202|20|i|f|a|13.5
2203|20|i|f|a|13.5
2204|20|i|f|a|13.5
2205|20|i|f|a|13.5
2206|20|i|f|a|13.5
3734|20|i|f|a|13.5
3769|20|i|f|a|13.5
3802|16|i|f|e|13.5
3802|20|i|f|e|13.5
3802|21|i|f|e|13.5
3802|23|i|f|e|13.5
3802|700|i|f|e|13.5
3802|701|i|f|e|13.5
3802|1700|i|f|e|13.5
4089|20|i|f|a|13.5
4096|20|i|f|a|13.5
4191|20|i|f|a|13.5
5069|28|i|f|e|13.5
