oprname|oprleft|oprright|oprresult|provolatile|proleakproof
!|20|0|1700|i|f
!!|0|20|1700|i|f
!!|0|3615|3615|i|f
!~|19|25|16|i|f
!~|25|25|16|i|f
!~|1042|25|16|i|f
!~*|19|25|16|i|f
!~*|25|25|16|i|f
!~*|1042|25|16|i|f
!~~|17|17|16|i|f
!~~|19|25|16|i|f
!~~|25|25|16|i|f
!~~|1042|25|16|i|f
!~~*|19|25|16|i|f
!~~*|25|25|16|i|f
!~~*|1042|25|16|i|f
#|0|602|23|i|f
#|0|604|23|i|f
#|20|20|20|i|f
#|21|21|21|i|f
#|23|23|23|i|f
#|601|601|600|i|f
#|603|603|603|i|f
#|628|628|600|i|f
#|1560|1560|1560|i|f
##|600|601|600|i|f
##|600|603|600|i|f
##|600|628|600|i|f
##|601|601|600|i|f
##|601|603|600|i|f
##|601|628|600|i|f
##|628|601|600|i|f
##|628|603|600|i|f
#-|3802|1009|3802|i|f
#>|114|1009|114|i|f
#>|3802|1009|3802|i|f
#>>|114|1009|25|i|f
#>>|3802|1009|25|i|f
%|20|20|20|i|f
%|21|21|21|i|f
%|23|23|23|i|f
%|1700|1700|1700|i|f
&|20|20|20|i|f
&|21|21|21|i|f
&|23|23|23|i|f
&|774|774|774|i|f
&|829|829|829|i|f
&|869|869|869|i|f
&|1560|1560|1560|i|f
&&|603|603|16|i|f
&&|604|604|16|i|f
&&|718|718|16|i|f
&&|869|869|16|i|f
&&|2277|2277|16|i|f
&&|3615|3615|3615|i|f
&&|3831|3831|16|i|f
&<|603|603|16|i|f
&<|604|604|16|i|f
&<|718|718|16|i|f
&<|3831|3831|16|i|f
"&<|"|603|603|16|i|f
"&<|"|604|604|16|i|f
"&<|"|718|718|16|i|f
&>|603|603|16|i|f
&>|604|604|16|i|f
&>|718|718|16|i|f
&>|3831|3831|16|i|f
*|20|20|20|i|f
*|20|21|20|i|f
*|20|23|20|i|f
*|20|790|790|i|f
*|21|20|20|i|f
*|21|21|21|i|f
*|21|23|23|i|f
*|21|790|790|i|f
*|23|20|20|i|f
*|23|21|23|i|f
*|23|23|23|i|f
*|23|790|790|i|f
*|600|600|600|i|f
*|602|600|602|i|f
*|603|600|603|i|f
*|700|700|700|i|f
*|700|701|701|i|f
*|700|790|790|i|f
*|701|700|701|i|f
*|701|701|701|i|f
*|701|790|790|i|f
*|701|1186|1186|i|f
*|718|600|718|i|f
*|790|20|790|i|f
*|790|21|790|i|f
*|790|23|790|i|f
*|790|700|790|i|f
*|790|701|790|i|f
*|1186|701|1186|i|f
*|1700|1700|1700|i|f
*|3831|3831|3831|i|f
*<|2249|2249|16|i|f
*<=|2249|2249|16|i|f
*<>|2249|2249|16|i|f
*=|2249|2249|16|i|f
*>|2249|2249|16|i|f
*>=|2249|2249|16|i|f
+|0|20|20|i|f
+|0|21|21|i|f
+|0|23|23|i|f
+|0|700|700|i|f
+|0|701|701|i|f
+|0|1700|1700|i|f
+|20|20|20|i|f
+|20|21|20|i|f
+|20|23|20|i|f
+|20|869|869|i|f
+|21|20|20|i|f
+|21|21|21|i|f
+|21|23|23|i|f
+|23|20|20|i|f
+|23|21|23|i|f
+|23|23|23|i|f
+|23|1082|1082|i|f
+|600|600|600|i|f
+|602|600|602|i|f
+|602|602|602|i|f
+|603|600|603|i|f
+|700|700|700|i|f
+|700|701|701|i|f
+|701|700|701|i|f
+|701|701|701|i|f
+|718|600|718|i|f
+|790|790|790|i|f
+|869|20|869|i|f
+|1034|1033|1034|i|f
+|1082|23|1082|i|f
+|1082|1083|1114|i|f
+|1082|1186|1114|i|f
+|1082|1266|1184|i|f
+|1083|1082|1114|i|f
+|1083|1186|1083|i|f
+|1114|1186|1114|i|f
+|1184|1186|1184|s|f
+|1186|1082|1114|i|f
+|1186|1083|1083|i|f
+|1186|1114|1114|i|f
+|1186|1184|1184|s|f
+|1186|1186|1186|i|f
+|1186|1266|1266|i|f
+|1266|1082|1184|i|f
+|1266|1186|1266|i|f
+|1700|1700|1700|i|f
+|3831|3831|3831|i|f
-|0|20|20|i|f
-|0|21|21|i|f
-|0|23|23|i|f
-|0|700|700|i|f
-|0|701|701|i|f
-|0|1186|1186|i|f
-|0|1700|1700|i|f
-|20|20|20|i|f
-|20|21|20|i|f
-|20|23|20|i|f
-|21|20|20|i|f
-|21|21|21|i|f
-|21|23|23|i|f
-|23|20|20|i|f
-|23|21|23|i|f
-|23|23|23|i|f
-|600|600|600|i|f
-|602|600|602|i|f
-|603|600|603|i|f
-|700|700|700|i|f
-|700|701|701|i|f
-|701|700|701|i|f
-|701|701|701|i|f
-|718|600|718|i|f
-|790|790|790|i|f
-|869|20|869|i|f
-|869|869|20|i|f
-|1034|1033|1034|i|f
-|1082|23|1082|i|f
-|1082|1082|23|i|f
-|1082|1186|1114|i|f
-|1083|1083|1186|i|f
-|1083|1186|1083|i|f
-|1114|1114|1186|i|f
-|1114|1186|1114|i|f
-|1184|1184|1186|i|f
-|1184|1186|1184|s|f
-|1186|1186|1186|i|f
-|1266|1186|1266|i|f
-|1700|1700|1700|i|f
-|3220|3220|1700|i|f
-|3802|23|3802|i|f
-|3802|25|3802|i|f
-|3802|1009|3802|i|f
-|3831|3831|3831|i|f
->|114|23|114|i|f
->|114|25|114|i|f
->|3802|23|3802|i|f
->|3802|25|3802|i|f
->>|114|23|25|i|f
->>|114|25|25|i|f
->>|3802|23|25|i|f
->>|3802|25|25|i|f
"-|-"|3831|3831|16|i|f
/|20|20|20|i|f
/|20|21|20|i|f
/|20|23|20|i|f
/|21|20|20|i|f
/|21|21|21|i|f
/|21|23|23|i|f
/|23|20|20|i|f
/|23|21|23|i|f
/|23|23|23|i|f
/|600|600|600|i|f
/|602|600|602|i|f
/|603|600|603|i|f
/|700|700|700|i|f
/|700|701|701|i|f
/|701|700|701|i|f
/|701|701|701|i|f
