I241119 22:28:29.941461 55 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2024/11/19 22:28:29
I241119 22:28:29.941463 55 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹miles-crl-mac.local›
I241119 22:28:29.941465 55 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v25.1.0-alpha.00000000-dev (darwin arm64, built , go1.22.8 X:nocoverageredesign)
I241119 22:28:29.941467 55 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹/private/var/tmp/_bazel_miles/8e6f37a11f54ea4e6a58bb92f8ed964e/sandbox/darwin-sandbox/5820/execroot/com_github_cockroachdb_cockroach/bazel-out/darwin_arm64-fastbuild/bin/pkg/ccl/changefeedccl/changefeedccl_test_/changefeedccl_test.runfiles/com_github_cockroachdb_cockroach/pkg/ccl/changefeedccl/changefeedccl_test_/changefeedccl_test› ‹-test.v›]
I241119 22:28:29.941472 55 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I241119 22:28:29.941474 55 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I241119 22:28:29.941368 55 server/config.go:881 ⋮ [T1,Vsystem,n?] 1  1 storage engine initialized
I241119 22:28:29.941566 55 server/config.go:884 ⋮ [T1,Vsystem,n?] 2  Pebble cache size: 128 MiB
I241119 22:28:29.941573 55 server/config.go:884 ⋮ [T1,Vsystem,n?] 3  store 0: in-memory, size 512 MiB
I241119 22:28:29.941577 55 server/config.go:884 ⋮ [T1,Vsystem,n?] 4  store 0: : rw encrypted=false
I241119 22:28:29.942210 55 1@rpc/tls.go:247 ⋮ [T1,Vsystem,n?] 5  server certificate addresses: ‹IP=127.0.0.1,::1; DNS=localhost,*.local; CN=node›
I241119 22:28:29.942224 55 1@rpc/tls.go:296 ⋮ [T1,Vsystem,n?] 6  web UI certificate addresses: ‹IP=127.0.0.1,::1; DNS=localhost,*.local; CN=node›
W241119 22:28:29.942280 55 server/status/runtime.go:669 ⋮ [T1,Vsystem,n?] 7  could not parse build timestamp: ‹parsing time "" as "2006/01/02 15:04:05": cannot parse "" as "2006"›
