I250509 18:29:28.709207 253 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2025/05/09 18:29:28
I250509 18:29:28.709213 253 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹Keiths-MacBook-Pro.local›
I250509 18:29:28.709217 253 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v25.3.0-alpha.00000000-dev (darwin arm64, built , go1.23.7 X:nocoverageredesign)
I250509 18:29:28.709219 253 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹/private/var/tmp/_bazel_keithchow/96aa777b20c542db7b4a751790e82d15/sandbox/darwin-sandbox/1338/execroot/com_github_cockroachdb_cockroach/bazel-out/darwin_arm64-fastbuild/bin/pkg/ccl/changefeedccl/changefeedccl_test_/changefeedccl_test.runfiles/com_github_cockroachdb_cockroach/pkg/ccl/changefeedccl/changefeedccl_test_/changefeedccl_test›]
I250509 18:29:28.709226 253 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I250509 18:29:28.709228 253 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I250509 18:29:28.708978 253 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r2/1:‹/System/NodeLiveness{-Max}›,raft] 1  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815374.707722000,0 pro=1746815368.707722000,0 acq=Request [acquisition-type=Request]
I250509 18:29:28.708969 252 2@kv/kvserver/replica_proposal.go:621 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 2  new range lease repl=(n1,s1):1 seq=1 start=0,0 exp=1746815374.707773000,1 pro=1746815368.707773000,1 acq=Request following <empty>
I250509 18:29:28.709361 252 2@kv/kvserver/replica_proposal.go:638 ⋮ [T1,Vsystem,n1,s1,r1/1:‹/{Min-System/NodeL…}›,raft] 3  acquired system range lease: repl=(n1,s1):1 seq=1 start=0,0 exp=1746815374.707773000,1 pro=1746815368.707773000,1 acq=Request [acquisition-type=Request]
I250509 18:29:29.059016 2469 2@rpc/peer.go:603 ⋮ [T10,nsql?,rnode=?,raddr=‹127.0.0.1:63138›,class=system,rpc] 4  connection is now healthy
I250509 18:29:29.062525 3248 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql?,rnode=1,raddr=‹127.0.0.1:63138›,class=default,rpc] 5  connection is now healthy
I250509 18:29:29.112163 3339 2@rpc/peer.go:603 ⋮ [T10,Vcluster-10,nsql1,rnode=1,raddr=‹127.0.0.1:63138›,class=rangefeed,rpc] 6  connection is now healthy
I250509 18:29:29.184981 4498 2@rpc/peer.go:603 ⋮ [T1,Vsystem,n1,rnode=1,raddr=‹127.0.0.1:63138›,class=default,rpc] 7  connection is now healthy
